"";"CODMUNRES";"ANO";"NIVEL";"TO";"TO_MT_G";"TONT_B";"TONT_PT";"TONT_PD";"TONT_I";"TONT_A";"TO_MT";"TO_MT_DG";"TO_MT_43";"TO_MT_PT";"TO_MT_42";"TO_MT_AB";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_EM";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_ESC";"TO_MT_P_ESI";"TO_MT_P_ES"
"23";"430107";"2015";"MUNICIPIO";"22";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"24";"430110";"2015";"MUNICIPIO";"115";"0";"2";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0"
"25";"430120";"2015";"MUNICIPIO";"107";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"26";"430130";"2015";"MUNICIPIO";"178";"0";"5";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"27";"430140";"2015";"MUNICIPIO";"69";"0";"3";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"28";"430150";"2015";"MUNICIPIO";"75";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"29";"430155";"2015";"MUNICIPIO";"40";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"30";"430160";"2015";"MUNICIPIO";"1054";"0";"16";"1";"3";"0";"0";"26";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"31";"430163";"2015";"MUNICIPIO";"135";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"32";"430165";"2015";"MUNICIPIO";"29";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"33";"430170";"2015";"MUNICIPIO";"47";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"34";"430175";"2015";"MUNICIPIO";"47";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"35";"430180";"2015";"MUNICIPIO";"35";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"36";"430185";"2015";"MUNICIPIO";"25";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"37";"430187";"2015";"MUNICIPIO";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"38";"430190";"2015";"MUNICIPIO";"84";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"39";"430192";"2015";"MUNICIPIO";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"40";"430195";"2015";"MUNICIPIO";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"41";"430200";"2015";"MUNICIPIO";"79";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"42";"430205";"2015";"MUNICIPIO";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"43";"430210";"2015";"MUNICIPIO";"659";"0";"15";"0";"0";"0";"0";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"44";"430215";"2015";"MUNICIPIO";"20";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"45";"430220";"2015";"MUNICIPIO";"51";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"46";"430222";"2015";"MUNICIPIO";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"47";"430223";"2015";"MUNICIPIO";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"48";"430225";"2015";"MUNICIPIO";"27";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"49";"430230";"2015";"MUNICIPIO";"36";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"50";"430235";"2015";"MUNICIPIO";"79";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"51";"430237";"2015";"MUNICIPIO";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"52";"430240";"2015";"MUNICIPIO";"89";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"53";"430245";"2015";"MUNICIPIO";"60";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"54";"430250";"2015";"MUNICIPIO";"46";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"55";"430258";"2015";"MUNICIPIO";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"56";"430260";"2015";"MUNICIPIO";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"57";"430265";"2015";"MUNICIPIO";"41";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"58";"430270";"2015";"MUNICIPIO";"167";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"59";"430280";"2015";"MUNICIPIO";"347";"0";"6";"1";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"60";"430290";"2015";"MUNICIPIO";"98";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"61";"430300";"2015";"MUNICIPIO";"937";"0";"6";"0";"0";"1";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"62";"430310";"2015";"MUNICIPIO";"783";"1";"9";"0";"1";"0";"0";"14";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"63";"430320";"2015";"MUNICIPIO";"49";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"64";"430330";"2015";"MUNICIPIO";"33";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"65";"430340";"2015";"MUNICIPIO";"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"66";"430350";"2015";"MUNICIPIO";"442";"1";"3";"0";"0";"0";"0";"7";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"67";"430355";"2015";"MUNICIPIO";"15";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"68";"430360";"2015";"MUNICIPIO";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"69";"430367";"2015";"MUNICIPIO";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"70";"430370";"2015";"MUNICIPIO";"55";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"71";"430380";"2015";"MUNICIPIO";"41";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"72";"430390";"2015";"MUNICIPIO";"371";"0";"7";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"73";"430400";"2015";"MUNICIPIO";"45";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"74";"430410";"2015";"MUNICIPIO";"23";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"75";"430420";"2015";"MUNICIPIO";"334";"0";"3";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"76";"430430";"2015";"MUNICIPIO";"54";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0"
"77";"430435";"2015";"MUNICIPIO";"46";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"78";"430440";"2015";"MUNICIPIO";"266";"0";"2";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"79";"430450";"2015";"MUNICIPIO";"447";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"80";"430460";"2015";"MUNICIPIO";"2648";"1";"33";"0";"3";"0";"0";"71";"1";"4";"0";"5";"0";"6";"6";"1";"0";"2";"0";"0";"0"
"81";"430461";"2015";"MUNICIPIO";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"82";"430462";"2015";"MUNICIPIO";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"83";"430463";"2015";"MUNICIPIO";"322";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"84";"430465";"2015";"MUNICIPIO";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"85";"430466";"2015";"MUNICIPIO";"185";"0";"2";"0";"1";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"86";"430467";"2015";"MUNICIPIO";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"87";"430468";"2015";"MUNICIPIO";"64";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"88";"430469";"2015";"MUNICIPIO";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"89";"430470";"2015";"MUNICIPIO";"557";"0";"10";"0";"3";"0";"0";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"90";"430471";"2015";"MUNICIPIO";"34";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"91";"430480";"2015";"MUNICIPIO";"151";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"92";"430485";"2015";"MUNICIPIO";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"93";"430490";"2015";"MUNICIPIO";"67";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"94";"430495";"2015";"MUNICIPIO";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"95";"430500";"2015";"MUNICIPIO";"90";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"96";"430510";"2015";"MUNICIPIO";"2691";"1";"42";"2";"2";"0";"0";"56";"1";"4";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"97";"430511";"2015";"MUNICIPIO";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"98";"430512";"2015";"MUNICIPIO";"61";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"99";"430513";"2015";"MUNICIPIO";"46";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"100";"430515";"2015";"MUNICIPIO";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"101";"430517";"2015";"MUNICIPIO";"64";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"102";"430520";"2015";"MUNICIPIO";"90";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"103";"430530";"2015";"MUNICIPIO";"69";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"104";"430535";"2015";"MUNICIPIO";"234";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"105";"430537";"2015";"MUNICIPIO";"25";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"106";"430540";"2015";"MUNICIPIO";"28";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"107";"430543";"2015";"MUNICIPIO";"17";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"108";"430544";"2015";"MUNICIPIO";"33";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"109";"430545";"2015";"MUNICIPIO";"130";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"110";"430550";"2015";"MUNICIPIO";"44";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"111";"430558";"2015";"MUNICIPIO";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"112";"430560";"2015";"MUNICIPIO";"26";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"113";"430570";"2015";"MUNICIPIO";"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"114";"430580";"2015";"MUNICIPIO";"65";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"115";"430583";"2015";"MUNICIPIO";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"116";"430585";"2015";"MUNICIPIO";"29";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"117";"430587";"2015";"MUNICIPIO";"26";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"118";"430590";"2015";"MUNICIPIO";"52";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"119";"430593";"2015";"MUNICIPIO";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"120";"430595";"2015";"MUNICIPIO";"39";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"121";"430597";"2015";"MUNICIPIO";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"122";"430600";"2015";"MUNICIPIO";"130";"0";"3";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"123";"430605";"2015";"MUNICIPIO";"68";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"124";"430607";"2015";"MUNICIPIO";"24";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0"
"125";"430610";"2015";"MUNICIPIO";"531";"0";"6";"0";"0";"0";"0";"9";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"126";"430613";"2015";"MUNICIPIO";"19";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"127";"430620";"2015";"MUNICIPIO";"109";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"128";"430630";"2015";"MUNICIPIO";"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"129";"430632";"2015";"MUNICIPIO";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"130";"430635";"2015";"MUNICIPIO";"26";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"131";"430637";"2015";"MUNICIPIO";"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"132";"430640";"2015";"MUNICIPIO";"142";"0";"4";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"133";"430642";"2015";"MUNICIPIO";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"134";"430645";"2015";"MUNICIPIO";"34";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"135";"430650";"2015";"MUNICIPIO";"113";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"136";"430655";"2015";"MUNICIPIO";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"137";"430660";"2015";"MUNICIPIO";"363";"0";"5";"0";"0";"0";"0";"7";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0"
"138";"430670";"2015";"MUNICIPIO";"34";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"139";"430673";"2015";"MUNICIPIO";"41";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"140";"430675";"2015";"MUNICIPIO";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"141";"430676";"2015";"MUNICIPIO";"192";"0";"6";"0";"1";"0";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"142";"430680";"2015";"MUNICIPIO";"153";"0";"2";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"143";"430690";"2015";"MUNICIPIO";"242";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"144";"430692";"2015";"MUNICIPIO";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"145";"430693";"2015";"MUNICIPIO";"82";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"146";"430695";"2015";"MUNICIPIO";"23";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"147";"430697";"2015";"MUNICIPIO";"28";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0"
"148";"430700";"2015";"MUNICIPIO";"637";"0";"9";"0";"0";"0";"0";"13";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0"
"149";"430705";"2015";"MUNICIPIO";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"150";"430710";"2015";"MUNICIPIO";"58";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"151";"430720";"2015";"MUNICIPIO";"48";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"152";"430730";"2015";"MUNICIPIO";"65";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"153";"430740";"2015";"MUNICIPIO";"21";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"154";"430745";"2015";"MUNICIPIO";"23";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"155";"430750";"2015";"MUNICIPIO";"138";"0";"2";"0";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"156";"430755";"2015";"MUNICIPIO";"45";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"157";"430760";"2015";"MUNICIPIO";"243";"0";"2";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"158";"430770";"2015";"MUNICIPIO";"532";"0";"6";"0";"1";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"159";"430780";"2015";"MUNICIPIO";"251";"0";"3";"1";"1";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
