"";"ANO";"NIVEL";"CODMUNRES";"POPRE_T";"POPRC_T";"POPRC_M";"POPRC_F";"POPRC_15";"POPRC_15_49";"POPRC_50";"POPRC_F_15";"POPRC_F_15_49";"POPRC_F_50"
"41";2015;"MUNICIPIO";"4301958";2497;2367;1177;1190;435;1259;673;200;639;NA
"42";2015;"MUNICIPIO";"4302006";11482;11133;5729;5404;2844;5535;2754;1354;2712;1338
"43";2015;"MUNICIPIO";"4302055";2264;2307;1195;1112;670;1129;508;318;534;NA
"44";2015;"MUNICIPIO";"4302105";113287;107278;52645;54633;19032;61877;26369;9468;30834;14331
"45";2015;"MUNICIPIO";"4302154";2170;2114;1056;1058;491;1097;526;228;572;NA
"46";2015;"MUNICIPIO";"4302204";6815;6574;3295;3279;1159;3471;1944;529;1725;NA
"47";2015;"MUNICIPIO";"4302220";2523;2441;1257;1184;459;1228;754;232;594;NA
"48";2015;"MUNICIPIO";"4302238";2559;2425;1243;1182;490;1300;635;234;625;323
"49";2015;"MUNICIPIO";"4302253";2859;2776;1469;1307;372;1382;1022;174;613;NA
"50";2015;"MUNICIPIO";"4302303";11797;11519;5703;5816;2895;5561;3063;1453;2801;1562
"51";2015;"MUNICIPIO";"4302352";12932;11789;6029;5760;2261;6884;2644;1076;3341;NA
"52";2015;"MUNICIPIO";"4302378";2261;2328;1167;1161;497;1154;677;252;568;NA
"53";2015;"MUNICIPIO";"4302402";12110;11472;5655;5817;2335;6161;2976;1125;3091;NA
"54";2015;"MUNICIPIO";"4302451";7912;7673;3937;3736;1812;4130;1731;894;1990;NA
"55";2015;"MUNICIPIO";"4302501";6873;6884;3509;3375;1472;3299;2113;725;1644;1006
"56";2015;"MUNICIPIO";"4302584";2238;2200;1100;1100;380;1034;786;187;516;NA
"57";2015;"MUNICIPIO";"4302600";3688;3702;1866;1836;850;1792;1060;420;881;NA
"58";2015;"MUNICIPIO";"4302659";4952;4675;2398;2277;771;2321;1583;372;1106;NA
"59";2015;"MUNICIPIO";"4302709";21192;20406;10032;10374;4754;10492;5160;2311;5278;2785
"60";2015;"MUNICIPIO";"4302808";34654;33690;16329;17361;6642;16602;10446;3302;8473;5586
"61";2015;"MUNICIPIO";"4302907";13685;13676;6836;6840;3000;6880;3796;1457;3420;NA
"62";2015;"MUNICIPIO";"4303004";85712;83827;40378;43449;16850;41716;25261;8240;21175;14034
"63";2015;"MUNICIPIO";"4303103";125975;118278;57173;61105;25903;66165;26210;12755;33790;14560
"64";2015;"MUNICIPIO";"4303202";5080;4868;2417;2451;1086;2422;1360;560;1182;NA
"65";2015;"MUNICIPIO";"4303301";5058;4954;2532;2422;954;2454;1546;417;1217;788
"66";2015;"MUNICIPIO";"4303400";5104;5071;2585;2486;986;2469;1616;467;1170;NA
"67";2015;"MUNICIPIO";"4303509";65835;62764;30900;31864;13527;33595;15642;6695;16780;8389
"68";2015;"MUNICIPIO";"4303558";2718;2592;1291;1301;480;1343;769;247;659;NA
"69";2015;"MUNICIPIO";"4303608";6695;6542;3350;3192;1568;3461;1513;751;1686;755
"70";2015;"MUNICIPIO";"4303673";3392;3247;1674;1573;676;1615;956;314;782;NA
"71";2015;"MUNICIPIO";"4303707";6070;6117;3056;3061;970;2896;2251;487;1399;NA
"72";2015;"MUNICIPIO";"4303806";5649;5506;2650;2856;954;2721;1831;489;1370;997
"73";2015;"MUNICIPIO";"4303905";64171;60074;29471;30603;12551;34774;12749;6198;17454;6951
"74";2015;"MUNICIPIO";"4304002";5276;5459;2685;2774;1205;2716;1538;582;1393;NA
"75";2015;"MUNICIPIO";"4304101";3535;3494;1754;1740;669;1716;1109;327;843;NA
"76";2015;"MUNICIPIO";"4304200";31476;30171;14752;15419;6225;15477;8469;3119;7671;4629
"77";2015;"MUNICIPIO";"4304309";6608;6535;3318;3217;1093;3266;2176;530;1550;NA
"78";2015;"MUNICIPIO";"4304358";9315;8771;4481;4290;2252;4844;1675;1097;2401;792
"79";2015;"MUNICIPIO";"4304408";42411;39229;19120;20109;9504;21684;8041;4622;11067;4420
"80";2015;"MUNICIPIO";"4304507";55801;53259;26856;26403;11023;26938;15298;5453;13097;7853
"81";2015;"MUNICIPIO";"4304606";341343;323827;155936;167891;72467;176707;74653;35647;90267;41977
"82";2015;"MUNICIPIO";"4304614";1828;1807;959;848;278;903;626;141;399;NA
"83";2015;"MUNICIPIO";"4304622";1770;1754;943;811;359;867;528;182;379;NA
"84";2015;"MUNICIPIO";"4304630";47148;42040;20616;21424;10368;22653;9019;5048;11535;4841
"85";2015;"MUNICIPIO";"4304655";3387;3104;1628;1476;705;1626;773;363;766;NA
"86";2015;"MUNICIPIO";"4304663";25382;24298;11962;12336;5999;12643;5656;2994;6422;2920
"87";2015;"MUNICIPIO";"4304671";4275;3890;1935;1955;890;2133;867;443;1078;NA
"88";2015;"MUNICIPIO";"4304689";11289;11612;5848;5764;2848;6209;2555;1390;3075;NA
"89";2015;"MUNICIPIO";"4304697";2756;2636;1353;1283;531;1293;812;260;601;NA
"90";2015;"MUNICIPIO";"4304705";62039;59317;28280;31037;12409;31412;15496;6079;16180;8778
"91";2015;"MUNICIPIO";"4304713";7863;7312;3798;3514;1445;3402;2465;740;1617;1157
"92";2015;"MUNICIPIO";"4304804";27565;25192;12662;12530;4317;14704;6171;2023;7273;3234
"93";2015;"MUNICIPIO";"4304853";1574;1607;834;773;277;823;507;133;376;NA
"94";2015;"MUNICIPIO";"4304903";9038;8651;4243;4408;1426;4461;2764;753;2175;NA
"95";2015;"MUNICIPIO";"4304952";3163;3007;1517;1490;662;1447;898;312;712;NA
"96";2015;"MUNICIPIO";"4305009";9402;9323;4590;4733;1665;4538;3120;798;2295;1640
"97";2015;"MUNICIPIO";"4305108";474853;435564;213612;221952;87527;251729;96308;43178;125681;53093
"98";2015;"MUNICIPIO";"4305116";3026;2965;1541;1424;486;1495;984;240;679;505
"99";2015;"MUNICIPIO";"4305124";6481;6402;3213;3189;1285;3048;2069;633;1508;NA
"100";2015;"MUNICIPIO";"4305132";4668;4454;2225;2229;807;2228;1419;420;1066;743
"101";2015;"MUNICIPIO";"4305157";2450;2417;1209;1208;522;1152;743;252;583;NA
"102";2015;"MUNICIPIO";"4305173";11263;10268;5355;4913;2603;5517;2148;1281;2653;NA
"103";2015;"MUNICIPIO";"4305207";13976;13289;6617;6672;2515;6989;3785;1193;3415;2064
"104";2015;"MUNICIPIO";"4305306";9613;9377;4593;4784;1541;4897;2939;762;2445;NA
"105";2015;"MUNICIPIO";"4305355";38281;35320;19533;15787;6988;20750;7582;3429;8358;NA
"106";2015;"MUNICIPIO";"4305371";3505;3471;1728;1743;943;1640;888;471;821;NA
