"";"CODMUNRES";"ANO";"NIVEL";"TO";"TORC";"TORCR";"TO_N";"TO_NN";"TO_CB_C";"TO_CB_N";"TO_CB_O";"TO_CB_R";"TO_CB_I";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_T";"TO_NT_P";"TO_PNT";"TO_MT_G";"TONT_B";"TONT_PT";"TONT_PD";"TONT_I";"TONT_A"
"381";431795;2015;"MUNICIPIO";12;0;0;12;0;2;1;5;3;1;6;6;NA;NA;NA;NA;NA;12;NA;NA;NA;NA;NA;NA
"382";431800;2015;"MUNICIPIO";483;0;0;477;6;163;61;205;48;6;251;232;23;NA;7;7;0;476;NA;7;0;0;0;0
"383";431805;2015;"MUNICIPIO";17;0;0;17;0;6;0;9;2;0;8;9;NA;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA
"384";431810;2015;"MUNICIPIO";161;0;0;159;2;47;22;74;17;1;93;68;4;NA;NA;NA;NA;161;NA;NA;NA;NA;NA;NA
"385";431820;2015;"MUNICIPIO";156;0;0;150;6;53;15;66;19;3;91;65;7;NA;3;3;0;153;NA;3;0;0;0;0
"386";431830;2015;"MUNICIPIO";509;0;0;496;13;141;62;238;63;5;279;230;17;NA;6;5;1;502;NA;4;1;1;0;0
"387";431840;2015;"MUNICIPIO";181;0;0;176;5;49;12;88;25;7;94;87;5;NA;3;3;0;178;NA;3;0;0;0;0
"388";431842;2015;"MUNICIPIO";29;0;0;29;0;3;6;16;4;0;20;9;1;NA;NA;NA;NA;29;NA;NA;NA;NA;NA;NA
"389";431843;2015;"MUNICIPIO";23;0;0;22;1;9;1;10;3;0;12;11;NA;NA;NA;NA;NA;23;NA;NA;NA;NA;NA;NA
"390";431844;2015;"MUNICIPIO";19;0;0;19;0;6;1;9;3;0;10;9;2;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA
"391";431845;2015;"MUNICIPIO";16;0;0;15;1;5;1;7;3;0;11;5;NA;NA;1;1;0;15;NA;1;0;0;0;0
"392";431846;2015;"MUNICIPIO";20;0;0;19;1;6;1;10;3;0;13;7;NA;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;NA
"393";431848;2015;"MUNICIPIO";28;0;0;27;1;5;2;14;6;1;17;11;1;NA;NA;NA;NA;28;NA;NA;NA;NA;NA;NA
"394";431849;2015;"MUNICIPIO";26;0;0;26;0;7;2;14;3;0;15;11;NA;NA;NA;NA;NA;26;NA;NA;NA;NA;NA;NA
"395";431850;2015;"MUNICIPIO";206;0;0;204;2;57;31;89;26;3;108;98;9;NA;NA;NA;NA;206;NA;NA;NA;NA;NA;NA
"396";431860;2015;"MUNICIPIO";57;0;0;56;1;22;6;20;9;0;32;25;2;NA;2;2;0;55;NA;2;0;0;0;0
"397";431861;2015;"MUNICIPIO";18;0;0;18;0;1;2;12;3;0;10;8;NA;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA
"398";431862;2015;"MUNICIPIO";19;0;0;19;0;8;2;4;5;0;7;12;1;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA
"399";431870;2015;"MUNICIPIO";1562;0;0;1507;55;438;153;709;220;42;861;701;80;NA;37;36;1;1523;NA;29;3;1;0;1
"400";431880;2015;"MUNICIPIO";381;0;0;379;2;130;40;154;52;5;215;166;7;NA;3;3;0;378;NA;3;0;0;0;0
"401";431890;2015;"MUNICIPIO";291;0;0;285;6;84;35;115;51;6;152;139;5;NA;1;1;0;290;NA;1;0;0;0;0
"402";431900;2015;"MUNICIPIO";143;0;0;140;3;41;16;77;9;0;71;72;4;NA;2;2;0;141;NA;2;0;0;0;0
"403";431910;2015;"MUNICIPIO";34;0;0;34;0;6;4;21;3;0;13;21;2;NA;NA;NA;NA;34;NA;NA;NA;NA;NA;NA
"404";431912;2015;"MUNICIPIO";21;0;0;20;1;7;0;11;3;0;12;9;2;NA;NA;NA;NA;21;NA;NA;NA;NA;NA;NA
"405";431915;2015;"MUNICIPIO";61;0;0;61;0;10;7;30;14;0;34;27;3;NA;NA;NA;NA;61;NA;NA;NA;NA;NA;NA
"406";431920;2015;"MUNICIPIO";35;0;0;34;1;14;2;14;5;0;19;16;1;NA;NA;NA;NA;35;NA;NA;NA;NA;NA;NA
"407";431930;2015;"MUNICIPIO";59;0;0;58;1;17;7;30;5;0;40;19;2;NA;3;2;1;56;NA;2;0;1;0;0
"408";431935;2015;"MUNICIPIO";23;0;0;21;2;8;2;9;3;1;10;13;NA;NA;NA;NA;NA;23;NA;NA;NA;NA;NA;NA
"409";431936;2015;"MUNICIPIO";18;0;0;17;1;3;4;7;4;0;9;9;2;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA
"410";431937;2015;"MUNICIPIO";29;0;0;29;0;7;4;15;3;0;14;15;NA;NA;NA;NA;NA;29;NA;NA;NA;NA;NA;NA
"411";431940;2015;"MUNICIPIO";133;0;0;132;1;43;8;66;14;2;72;61;4;NA;1;1;0;132;NA;1;0;0;0;0
"412";431950;2015;"MUNICIPIO";180;0;0;176;4;57;13;91;18;1;92;88;12;1;2;2;0;178;NA;1;0;0;0;0
"413";431960;2015;"MUNICIPIO";210;0;0;208;2;58;21;102;29;0;115;95;8;NA;1;1;0;209;NA;0;0;1;0;0
"414";431970;2015;"MUNICIPIO";32;0;0;30;2;9;3;15;4;1;16;16;2;NA;NA;NA;NA;32;NA;NA;NA;NA;NA;NA
"415";431971;2015;"MUNICIPIO";17;0;0;16;1;1;5;8;3;0;11;6;NA;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA
"416";431973;2015;"MUNICIPIO";13;0;0;13;0;3;2;6;2;0;9;4;NA;NA;NA;NA;NA;13;NA;NA;NA;NA;NA;NA
"417";431975;2015;"MUNICIPIO";20;0;0;19;1;6;2;10;2;0;11;9;1;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;NA
"418";431980;2015;"MUNICIPIO";74;0;0;72;2;13;8;43;10;0;44;30;1;NA;1;1;0;73;NA;1;0;0;0;0
"419";431990;2015;"MUNICIPIO";433;0;0;416;17;116;41;217;54;5;244;189;19;1;9;9;0;424;1;9;0;0;0;0
"420";432000;2015;"MUNICIPIO";921;0;0;901;20;237;103;422;125;34;518;403;37;1;10;10;0;910;1;8;1;1;0;0
"421";432010;2015;"MUNICIPIO";122;0;0;121;1;38;12;54;18;0;67;55;6;NA;NA;NA;NA;122;NA;NA;NA;NA;NA;NA
"422";432020;2015;"MUNICIPIO";85;0;0;83;2;29;10;37;9;0;39;46;1;NA;3;3;0;82;NA;3;0;0;0;0
"423";432023;2015;"MUNICIPIO";28;0;0;28;0;9;1;14;4;0;14;14;NA;NA;NA;NA;NA;28;NA;NA;NA;NA;NA;NA
"424";432026;2015;"MUNICIPIO";50;0;0;49;1;17;8;19;6;0;28;22;4;NA;NA;NA;NA;50;NA;NA;NA;NA;NA;NA
"425";432030;2015;"MUNICIPIO";34;0;0;34;0;8;1;15;9;1;19;15;NA;NA;NA;NA;NA;34;NA;NA;NA;NA;NA;NA
"426";432032;2015;"MUNICIPIO";27;0;0;27;0;8;4;11;4;0;13;14;1;NA;NA;NA;NA;27;NA;NA;NA;NA;NA;NA
"427";432035;2015;"MUNICIPIO";57;0;0;56;1;12;5;29;10;1;29;28;3;NA;1;1;0;56;NA;1;0;0;0;0
"428";432040;2015;"MUNICIPIO";91;0;0;90;1;26;12;43;10;0;56;35;4;NA;3;3;0;88;NA;3;0;0;0;0
"429";432045;2015;"MUNICIPIO";23;0;0;23;0;6;2;12;3;0;10;13;1;NA;1;1;0;22;NA;1;0;0;0;0
