"";"ANO";"NIVEL";"CODMUNRES";"IDHM_A";"IDHM_CA";"IDHM_CA_F";"IDHM_CA_M"
"141";2015;"MUNICIPIO";"4306767";0;0,717;0;0
"142";2015;"MUNICIPIO";"4306809";0;0,767;0;0
"143";2015;"MUNICIPIO";"4306908";0;0,657;0;0
"144";2015;"MUNICIPIO";"4306924";0;0,717;0;0
"145";2015;"MUNICIPIO";"4306932";0;0,68;0;0
"146";2015;"MUNICIPIO";"4306957";0;0,703;0;0
"147";2015;"MUNICIPIO";"4306973";0;0,712;0;0
"148";2015;"MUNICIPIO";"4307005";0;0,776;0;0
"149";2015;"MUNICIPIO";"4307054";0;0,716;0;0
"150";2015;"MUNICIPIO";"4307104";0;0,681;0;0
"151";2015;"MUNICIPIO";"4307203";0;0,685;0;0
"152";2015;"MUNICIPIO";"4307302";0;0,68;0;0
"153";2015;"MUNICIPIO";"4307401";0;0,661;0;0
"154";2015;"MUNICIPIO";"4307450";0;0,765;0;0
"155";2015;"MUNICIPIO";"4307500";0;0,753;0;0
"156";2015;"MUNICIPIO";"4307559";0;0,757;0;0
"157";2015;"MUNICIPIO";"4307609";0;0,754;0;0
"158";2015;"MUNICIPIO";"4307708";0;0,767;0;0
"159";2015;"MUNICIPIO";"4307807";0;0,679;0;0
"160";2015;"MUNICIPIO";"4307815";0;0,712;0;0
"161";2015;"MUNICIPIO";"4307831";0;0,763;0;0
"162";2015;"MUNICIPIO";"4307864";0;0,777;0;0
"163";2015;"MUNICIPIO";"4307906";0;0,72;0;0
"164";2015;"MUNICIPIO";"4308003";0;0,666;0;0
"165";2015;"MUNICIPIO";"4308052";0;0,698;0;0
"166";2015;"MUNICIPIO";"4308078";0;0,75;0;0
"167";2015;"MUNICIPIO";"4308102";0;0,754;0;0
"168";2015;"MUNICIPIO";"4308201";0;0,663;0;0
"169";2015;"MUNICIPIO";"4308250";0;0,661;0;0
"170";2015;"MUNICIPIO";"4308300";0;0,682;0;0
"171";2015;"MUNICIPIO";"4308409";0;0,683;0;0
"172";2015;"MUNICIPIO";"4308433";0;0,756;0;0
"173";2015;"MUNICIPIO";"4308458";0;0,76;0;0
"174";2015;"MUNICIPIO";"4308508";0;0,786;0;0
"175";2015;"MUNICIPIO";"4308607";0;0,671;0;0
"176";2015;"MUNICIPIO";"4308656";0;0,738;0;0
"177";2015;"MUNICIPIO";"4308706";0;0,686;0;0
"178";2015;"MUNICIPIO";"4308805";0;0,733;0;0
"179";2015;"MUNICIPIO";"4308854";0;0,746;0;0
"180";2015;"MUNICIPIO";"4308904";0;0,721;0;0
"181";2015;"MUNICIPIO";"4309001";0;0,714;0;0
"182";2015;"MUNICIPIO";"4309050";0;0,764;0;0
"183";2015;"MUNICIPIO";"4309100";0;0,685;0;0
"184";2015;"MUNICIPIO";"4309126";0;0,634;0;0
"185";2015;"MUNICIPIO";"4309159";0;0,736;0;0
