"";"ANO";"NIVEL";"CODMUNRES";"POPR_RA";"POPR_RE"
"195";"2015";"MUNICIPIO";"430970";"3.362";"0"
"196";"2015";"MUNICIPIO";"430975";"4.371";"0"
"197";"2015";"MUNICIPIO";"430980";"3.208";"0"
"198";"2015";"MUNICIPIO";"430990";"4.216";"0"
"199";"2015";"MUNICIPIO";"430995";"4.162";"0"
"200";"2015";"MUNICIPIO";"431000";"16.719";"0"
"201";"2015";"MUNICIPIO";"431010";"26.4";"887"
"202";"2015";"MUNICIPIO";"431020";"80.824";"1.114"
"203";"2015";"MUNICIPIO";"431030";"2.42";"0"
"204";"2015";"MUNICIPIO";"431033";"19.993";"66"
"205";"2015";"MUNICIPIO";"431036";"2.829";"0"
"206";"2015";"MUNICIPIO";"431040";"4.216";"0"
"207";"2015";"MUNICIPIO";"431041";"2.318";"0"
"208";"2015";"MUNICIPIO";"431043";"2.743";"0"
"209";"2015";"MUNICIPIO";"431046";"0";"0"
"210";"2015";"MUNICIPIO";"431050";"5.736";"849"
"211";"2015";"MUNICIPIO";"431053";"4.57";"0"
"212";"2015";"MUNICIPIO";"431055";"0";"0"
"213";"2015";"MUNICIPIO";"431057";"1.33";"200"
"214";"2015";"MUNICIPIO";"431060";"33.863";"0"
"215";"2015";"MUNICIPIO";"431065";"0";"0"
"216";"2015";"MUNICIPIO";"431070";"2.63";"0"
"217";"2015";"MUNICIPIO";"431075";"872";"1.724"
"218";"2015";"MUNICIPIO";"431080";"22.012";"0"
"219";"2015";"MUNICIPIO";"431085";"1.663";"0"
"220";"2015";"MUNICIPIO";"431087";"2.57";"0"
"221";"2015";"MUNICIPIO";"431090";"2.526";"0"
"222";"2015";"MUNICIPIO";"431100";"27.805";"7.639"
"223";"2015";"MUNICIPIO";"431110";"6.831";"0"
"224";"2015";"MUNICIPIO";"431112";"2.456";"0"
"225";"2015";"MUNICIPIO";"431113";"2.9";"0"
"226";"2015";"MUNICIPIO";"431115";"0";"0"
"227";"2015";"MUNICIPIO";"431120";"16.72";"0"
"228";"2015";"MUNICIPIO";"431123";"964";"0"
"229";"2015";"MUNICIPIO";"431125";"1.649";"0"
